fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
08. Jan;0.2;0.3;01. Mrz;0.036;7;49;0.99242;Feb 99;0.73;10. Mrz;5
08. Mrz;0.18;0.3;01. Jan;0.033;20;57;0.99109;03. Feb;0.51;11;6
07. Sep;0.21;0.39;2;0.057;21;138;0.99176;03. Mai;0.52;10. Sep;5
07. Feb;0.17;0.34;06. Apr;0.042;16;111;0.99278;Feb 99;0.4;10. Aug;6
08. Jan;0.2;0.3;01. Mrz;0.036;7;49;0.99242;Feb 99;0.73;10. Mrz;5
08. Mrz;0.18;0.3;01. Jan;0.033;20;57;0.99109;03. Feb;0.51;11;6
7;0.39;0.21;10. Jul;0.098;13;91;0.99657;03. Mrz;0.47;09. Mrz;5
06. Aug;0.21;0.62;06. Apr;0.041;7;113;0.99358;Feb 96;0.59;10. Feb;5
06. Sep;0.21;0.62;06. Mrz;0.042;7;109;0.99358;Feb 96;0.59;10. Feb;6
07. Feb;0.17;0.34;06. Apr;0.042;16;111;0.99278;Feb 99;0.4;10. Aug;6
06. Aug;0.26;0.34;15. Jan;0.06;42;162;0.99705;Mrz 24;0.52;10. Mai;3
07. Feb;0.28;0.38;2;0.052;23;156;0.9912;Mrz 13;0.52;11. Jan;5
07. Sep;0.21;0.39;2;0.057;21;138;0.99176;03. Mai;0.52;10. Sep;5
7;0.3;0.28;02. Feb;0.042;21;177;0.99166;03. Feb;0.57;11. Apr;5
07. Apr;0.34;0.28;12. Jan;0.049;31;149;0.99677;Mrz 22;0.49;10. Mrz;5
06. Mrz;0.43;0.32;08. Aug;0.042;18;106;0.99172;Mrz 28;0.33;12. Sep;7
06. Aug;0.41;0.3;08. Aug;0.045;28;131;0.9953;03. Dez;0.59;09. Sep;5
06. Mrz;0.4;0.24;05. Jan;0.036;43;131;0.99186;Mrz 24;0.44;11. Mrz;6
05. Jan;0.35;0.26;06. Aug;0.034;36;120;0.99188;Mrz 38;0.4;11. Mai;6
05. Jan;0.35;0.26;06. Aug;0.034;36;120;0.99188;Mrz 38;0.4;11. Mai;6
06. Mrz;0.3;0.2;03. Jul;0.039;34;132;0.99158;3;0.38;10. Jul;5
06. Sep;0.28;0.28;12. Feb;0.042;52;139;0.99522;03. Mrz;0.56;10. Apr;6
7;0.33;0.28;05. Jul;0.033;39;204;0.99176;Mrz 17;0.64;12. Mai;6
06. Jul;0.26;0.49;08. Jan;0.052;48;197;0.99558;Mrz 19;0.48;09. Mai;5
07. Mrz;0.24;0.3;02. Mai;0.042;31;104;0.9911;03. Mai;0.56;11. Mrz;7
06. Jul;0.46;0.21;4;0.034;12;88;0.99016;Mrz 26;0.54;13;6
05. Jan;0.35;0.26;06. Aug;0.034;36;120;0.99188;Mrz 38;0.4;11. Mai;6
05. Jan;0.23;0.18;1;0.053;13;99;0.98956;Mrz 22;0.39;11. Mai;5
06. Mrz;0.4;0.24;05. Jan;0.036;43;131;0.99186;Mrz 24;0.44;11. Mrz;6
07. Jan;0.44;0.23;05. Aug;0.035;24;100;0.99062;Mrz 15;0.57;13. Feb;7
04. Aug;0.26;0.23;10. Jun;0.034;23;111;0.99274;Mrz 46;0.28;11. Mai;7
06. Aug;0.31;0.19;03. Mai;0.086;30;130;0.993;Feb 83;0.44;09. Jun;5
06. Aug;0.31;0.19;03. Mai;0.086;30;130;0.993;Feb 83;0.44;09. Jun;5
7;0.15;0.29;16. Apr;0.058;45;110;0.9978;Mrz 15;0.37;09. Jul;6
06. Mai;0.41;0.22;04. Aug;0.052;49;142;0.9946;Mrz 14;0.62;09. Feb;5
06. Feb;0.31;0.23;03. Mrz;0.052;34;113;0.99429;Mrz 16;0.48;08. Apr;5
8;0.27;0.33;01. Feb;0.05;41;103;0.99002;3;0.45;12. Apr;6
8;0.27;0.33;01. Feb;0.05;41;103;0.99002;3;0.45;12. Apr;6
06. Mai;0.41;0.22;04. Aug;0.052;49;142;0.9946;Mrz 14;0.62;09. Feb;5
06. Feb;0.31;0.23;03. Mrz;0.052;34;113;0.99429;Mrz 16;0.48;08. Apr;5
06. Jul;0.37;0.25;02. Mai;0.028;24;84;0.9909;Mrz 14;0.36;11. Jul;6
06. Jun;0.21;0.5;08. Jul;0.036;41;191;0.99294;Feb 96;0.56;11;6
07. Mai;0.26;0.31;01. Jun;0.032;36;109;0.99044;Feb 97;0.43;11. Sep;6
07. Mai;0.34;0.28;4;0.028;46;100;0.98958;03. Feb;0.5;13. Feb;7
06. Jul;0.37;0.25;02. Mai;0.028;24;84;0.9909;Mrz 14;0.36;11. Jul;6
06. Apr;0.32;0.23;16. Feb;0.055;36;176;0.9986;Mrz 26;0.54;09. Jan;5
06. Jul;0.24;0.32;9;0.023;20;109;0.99262;Mrz 34;0.35;12. Jun;6
06. Apr;0.32;0.23;16. Feb;0.055;36;176;0.9986;Mrz 26;0.54;09. Jan;5
07. Jan;0.39;0.79;01. Apr;0.194;23;90;0.99212;Mrz 17;0.46;10. Mai;6
08. Feb;0.31;0.43;7;0.047;18;87;0.99628;Mrz 23;0.64;10. Jun;5
06. Jul;0.24;0.32;9;0.023;20;109;0.99262;Mrz 34;0.35;12. Jun;6
05. Sep;0.17;0.29;03. Jan;0.03;32;123;0.98913;Mrz 41;0.33;13. Jul;7
05. Sep;0.2;0.23;01. Mai;0.037;38;93;0.99021;Mrz 36;0.49;12;6
06. Jun;0.32;0.26;04. Jun;0.031;26;120;0.99198;03. Apr;0.73;12. Mai;7
05. Sep;0.12;0.27;04. Aug;0.03;40;110;0.99226;Mrz 55;0.68;12. Jan;6
05. Sep;0.18;0.29;04. Jun;0.032;68;137;0.99159;Mrz 21;0.38;11. Mrz;6
05. Sep;0.2;0.23;01. Mai;0.037;38;93;0.99021;Mrz 36;0.49;12;6
05. Apr;0.17;0.27;02. Jul;0.049;28;104;0.99224;Mrz 46;0.55;10. Mrz;6
06. Jan;0.21;0.3;06. Mrz;0.039;47;136;0.99068;Mrz 27;0.31;12. Jul;6
07. Mrz;0.25;0.26;07. Feb;0.048;52;207;0.99587;03. Dez;0.37;09. Feb;5
07. Mrz;0.25;0.26;07. Feb;0.048;52;207;0.99587;03. Dez;0.37;09. Feb;5
06. Feb;0.22;0.3;12. Apr;0.054;108;152;0.99728;03. Jan;0.47;09. Mai;6
06. Mai;0.27;0.19;06. Jun;0.045;98;175;0.99364;Mrz 16;0.34;10. Jan;6
06. Mai;0.27;0.19;06. Jun;0.045;98;175;0.99364;Mrz 16;0.34;10. Jan;6
06. Jun;0.39;0.22;4;0.038;17;98;0.99018;Mrz 25;0.53;13;7
6;0.31;0.38;04. Aug;0.04;41;101;0.98968;Mrz 24;0.56;13. Jan;6
08. Apr;0.23;0.32;01. Mrz;0.048;59;113;0.99178;03. Jan;0.55;11;6
07. Mrz;0.25;0.26;07. Feb;0.048;52;207;0.99587;03. Dez;0.37;09. Feb;5
6;0.22;0.25;11. Jan;0.056;112;177;0.9961;03. Aug;0.36;09. Apr;6
06. Feb;0.22;0.3;12. Apr;0.054;108;152;0.99728;03. Jan;0.47;09. Mai;6
06. Jan;0.23;0.27;09. Aug;0.055;74;134;0.99534;Mrz 16;0.4;10. Feb;6
06. Mai;0.27;0.19;06. Jun;0.045;98;175;0.99364;Mrz 16;0.34;10. Jan;6
07. Mrz;0.36;0.54;13. Mrz;0.054;63;193;0.99864;03. Jun;0.49;08. Jun;4
07. Jun;0.37;0.51;11. Jul;0.094;58;181;0.99776;Feb 91;0.51;9;5
06. Jul;0.26;0.51;8;0.062;50;194;0.99545;Mrz 13;0.5;09. Jun;5
07. Apr;0.22;0.27;01. Jun;0.057;45;98;0.99299;Mrz 29;0.44;09. Sep;7
06. Jan;0.22;0.28;16.55;0.059;54;135;0.99665;03. Feb;0.38;10. Mai;5
07. Jan;0.28;0.31;01. Mai;0.053;20;98;0.99069;Mrz 15;0.5;11. Apr;5
06. Mai;0.35;0.31;10. Feb;0.069;58;170;0.99692;Mrz 18;0.49;09. Apr;5
06. Aug;0.73;0.2;06. Jun;0.054;25;65;0.99324;03. Dez;0.28;11. Jan;4
6;0.28;0.24;17. Aug;0.047;42;111;0.99896;03. Jan;0.45;08. Sep;6
6;0.28;0.24;17. Aug;0.047;42;111;0.99896;03. Jan;0.45;08. Sep;6
07. Jan;0.2;0.37;01. Mai;0.049;28;129;0.99226;Mrz 15;0.52;10. Aug;5
06. Aug;0.33;0.31;07. Apr;0.045;34;143;0.99226;03. Jun;0.55;12. Feb;6
6;0.28;0.24;17. Aug;0.047;42;111;0.99896;03. Jan;0.45;08. Sep;6
07. Feb;0.24;0.36;2;0.029;21;63;0.99076;Mrz 13;0.63;12. Mai;6
06. Aug;0.33;0.31;07. Apr;0.045;34;143;0.99226;03. Jun;0.55;12. Feb;6
07. Feb;0.24;0.36;2;0.029;21;63;0.99076;Mrz 13;0.63;12. Mai;6
6;0.28;0.24;17. Aug;0.047;42;111;0.99896;03. Jan;0.45;08. Sep;6
06. Feb;0.27;0.26;12. Jan;0.046;43;127;0.9951;Mrz 16;0.37;10. Aug;6
06. Apr;0.38;0.26;08. Feb;0.043;28;98;0.99234;Feb 99;0.31;11. Apr;6
07. Jan;0.2;0.37;01. Mai;0.049;28;129;0.99226;Mrz 15;0.52;10. Aug;5
6;0.21;0.3;08. Jul;0.036;47;127;0.99368;Mrz 18;0.39;10. Jun;5
7;0.34;0.1;03. Mai;0.044;17;63;0.9937;03. Jan;0.39;09. Feb;5
05. Sep;0.435;0.16;06. Apr;0.031;21;134;0.99151;Mrz 24;0.46;12. Feb;6
7;0.25;0.33;02. Jan;0.021;17;76;0.99021;Mrz 26;0.45;12. Mrz;6
06. Jul;0.26;0.29;07. Jul;0.038;40;179;0.99479;Mrz 23;0.56;10. Apr;6
7;0.24;0.3;12. Mrz;0.035;72;172;0.9954;Feb 99;0.57;10. Apr;6
08. Mai;0.23;0.34;01. Mrz;0.035;54;110;0.99176;03. Jul;0.55;11;7
6;0.21;0.3;08. Jul;0.036;47;127;0.99368;Mrz 18;0.39;10. Jun;5
7;0.34;0.1;03. Mai;0.044;17;63;0.9937;03. Jan;0.39;09. Feb;5
04. Aug;0.65;0.12;01. Jan;0.013;4;10;0.99246;Mrz 32;0.36;13. Mai;4
06. Jan;0.22;0.38;02. Aug;0.144;12;65;0.9908;Feb 95;0.64;11. Apr;6
05. Aug;0.27;0.26;03. Mai;0.071;26;69;0.98994;03. Jan;0.38;11. Mai;6
5;0.455;0.18;01. Sep;0.036;33;106;0.98746;Mrz 21;0.83;14;7
06. Mai;0.33;0.3;03. Aug;0.036;34;88;0.99028;Mrz 25;0.63;12. Mai;7
06. Mai;0.33;0.3;03. Aug;0.036;34;88;0.99028;Mrz 25;0.63;12. Mai;7
06. Jul;0.31;0.3;02. Apr;0.038;30;83;0.98867;03. Sep;0.36;12. Aug;7
06. Feb;0.39;0.24;04. Aug;0.037;45;138;0.99174;Mrz 23;0.43;11. Feb;7
06. Feb;0.39;0.24;04. Aug;0.037;45;138;0.99174;Mrz 23;0.43;11. Feb;7
07. Jan;0.37;0.3;06. Feb;0.04;49;139;0.99021;Mrz 17;0.27;13. Jun;6
07. Feb;0.23;0.82;01. Mrz;0.149;70;109;0.99304;Feb 93;0.42;09. Feb;6
06. Mai;0.33;0.3;03. Aug;0.036;34;88;0.99028;Mrz 25;0.63;12. Mai;7
07. Feb;0.25;0.32;01. Mai;0.054;24;105;0.99154;Mrz 17;0.48;11. Jan;6
06. Feb;0.39;0.24;04. Aug;0.037;45;138;0.99174;Mrz 23;0.43;11. Feb;7
04. Jul;0.455;0.18;01. Sep;0.036;33;106;0.98746;Mrz 21;0.83;14;7
07. Jan;0.37;0.3;06. Feb;0.04;49;139;0.99021;Mrz 17;0.27;13. Jun;6
06. Feb;0.28;0.51;07. Sep;0.056;49;206;0.9956;Mrz 18;0.52;09. Apr;5
06. Apr;0.35;0.28;01. Jun;0.037;31;113;0.98779;03. Dez;0.4;14. Feb;7
06. Jun;0.31;0.28;01. Apr;0.035;28;107;0.98836;3;0.4;13. Feb;6
07. Apr;0.25;0.37;02. Jun;0.05;24;132;0.99138;03. Apr;0.53;11. Feb;6
07. Mrz;0.36;0.34;14. Aug;0.057;46;173;0.99751;Mrz 14;0.57;10. Feb;5
06. Jul;0.31;0.3;02. Apr;0.038;30;83;0.98867;03. Sep;0.36;12. Aug;7
08. Jun;0.31;0.3;0.9;0.045;16;109;0.99249;Feb 95;0.39;10. Jan;5
08. Jun;0.31;0.3;0.9;0.045;16;109;0.99249;Feb 95;0.39;10. Jan;5
08. Jun;0.22;0.33;01. Feb;0.031;38;95;0.99239;Feb 83;0.31;10. Mrz;5
06. Sep;0.14;0.29;09. Sep;0.056;30;91;0.99512;Mrz 19;0.33;09. Sep;6
06. Mai;0.22;0.31;03. Sep;0.046;17;106;0.99098;Mrz 15;0.31;11. Mai;5
06. Jun;0.32;0.47;15. Jun;0.063;27;173;0.99872;Mrz 18;0.56;9;5
06. Jun;0.32;0.47;15. Jun;0.063;27;173;0.99872;Mrz 18;0.56;9;5
06. Jan;0.28;0.26;01. Mai;0.03;25;101;0.98894;03. Mrz;0.41;12. Jan;6
06. Feb;0.3;0.28;01. Jun;0.036;28;106;0.988245;Mrz 14;0.41;13. Mrz;6
06. Sep;0.22;0.28;07. Aug;0.05;43;116;0.99326;Mrz 22;0.6;11. Mai;8
08. Jul;0.31;0.21;05. Jun;0.039;28;67;0.99328;Feb 96;0.52;11;4
07. Mrz;0.27;0.3;01. Mrz;0.04;26;84;0.99222;Mrz 28;0.53;10. Jul;6
7;0.46;0.2;16. Jul;0.046;50;184;0.99898;03. Aug;0.56;09. Apr;5
05. Jul;0.23;0.25;Jul 95;0.042;16;108;0.99486;Mrz 44;0.61;10. Mrz;6
06. Mai;0.36;0.36;06. Jul;0.185;51.5;151;0.99528;Mrz 17;0.42;09. Mrz;5
08. Feb;0.18;0.38;01. Jan;0.04;41;92;0.99062;Feb 88;0.6;12;6
06. Feb;0.27;0.32;06. Mrz;0.048;47;159;0.99282;Mrz 21;0.6;11;6
06. Sep;0.4;0.37;08. Sep;0.053;36;148;0.996;Mrz 16;0.5;09. Mrz;5
04. Sep;0.345;0.34;1;0.068;32;143;0.99138;Mrz 24;0.4;10. Jan;5
07. Feb;0.23;0.39;01. Mai;0.053;26;106;0.99166;Mrz 18;0.47;11. Jan;6
06. Apr;0.2;0.15;06. Jun;0.046;26;113;0.99408;Feb 99;0.58;09. Sep;6
06. Jan;0.27;0.32;06. Feb;0.048;47;161;0.99281;Mrz 22;0.6;11;6
06. Feb;0.27;0.32;06. Mrz;0.048;47;159;0.99282;Mrz 21;0.6;11;6
6;0.3;0.33;02. Jan;0.042;31;127;0.98964;Mrz 32;0.42;12. Mai;6
06. Jan;0.3;0.32;02. Feb;0.042;41;142;0.98952;Mrz 31;0.44;12. Jul;7
05. Jul;0.14;0.3;05. Apr;0.045;26;105;0.99469;Mrz 32;0.45;09. Mrz;5
06. Sep;0.4;0.37;08. Sep;0.053;36;148;0.996;Mrz 16;0.5;09. Mrz;5
04. Sep;0.345;0.34;1;0.068;32;143;0.99138;Mrz 24;0.4;10. Jan;5
06. Mrz;0.33;0.2;17. Sep;0.066;36;161;0.9991;Mrz 14;0.51;08. Aug;5
7;0.16;0.3;02. Jun;0.043;34;90;0.99047;Feb 88;0.47;11. Feb;6
08. Apr;0.22;0.3;01. Mrz;0.038;45;122;0.99178;Mrz 13;0.54;10. Aug;7
06. Mrz;0.33;0.2;17. Sep;0.066;36;161;0.9991;Mrz 14;0.51;08. Aug;5
7;0.16;0.3;02. Jun;0.043;34;90;0.99047;Feb 88;0.47;11. Feb;6
05. Apr;0.24;0.18;02. Mrz;0.05;22;145;0.99207;Mrz 24;0.46;10. Mrz;5
07. Jul;0.31;0.36;04. Mrz;0.026;15;87;0.99152;03. Nov;0.48;12;5
05. Jun;0.185;0.19;07. Jan;0.048;36;110;0.99438;Mrz 26;0.41;09. Mai;6
05. Jun;0.185;0.19;07. Jan;0.048;36;110;0.99438;Mrz 26;0.41;09. Mai;6
06. Jun;0.43;0.24;11. Sep;0.04;54;159;0.99622;Mrz 14;0.54;09. Aug;6
07. Jun;0.39;0.46;11. Jul;0.084;55;170;0.99773;Feb 91;0.51;9;5
07. Feb;0.58;0.27;05. Aug;0.032;40;118;0.99088;Mrz 17;0.53;13;7
6;0.34;0.32;03. Aug;0.044;13;116;0.99108;Mrz 39;0.44;11. Aug;7
07. Mai;0.35;0.48;12. Apr;0.056;61;176.5;0.99803;Feb 97;0.52;08. Aug;5
07. Mrz;0.38;0.23;06. Mai;0.05;18;102;0.99304;03. Jan;0.55;11. Feb;4
05. Apr;0.185;0.19;07. Jan;0.048;36;110;0.99438;Mrz 26;0.41;09. Mai;6
06. Mrz;0.27;0.51;07. Jun;0.049;35;200;0.99548;Mrz 16;0.54;09. Apr;4
06. Mai;0.29;0.52;07. Sep;0.049;35;192;0.99551;Mrz 16;0.51;09. Mai;6
06. Apr;0.17;0.3;02. Aug;0.034;33;125;0.99152;03. Mrz;0.49;10. Apr;6
06. Jul;0.18;0.31;10. Jun;0.035;42;143;0.99572;03. Aug;0.49;09. Aug;7
06. Apr;0.17;0.3;02. Aug;0.034;33;125;0.99152;03. Mrz;0.49;10. Apr;6
06. Aug;0.37;0.67;01. Mai;0.175;16;98;0.99244;03. Jun;0.56;10. Mrz;6
06. Mrz;0.27;0.51;07. Jun;0.049;35;200;0.99548;Mrz 16;0.54;09. Apr;4
06. Mai;0.29;0.52;07. Sep;0.049;35;192;0.99551;Mrz 16;0.51;09. Mai;6
06. Jan;0.24;0.26;01. Jul;0.033;61;134;0.9903;Mrz 19;0.81;11. Sep;7
7;0.32;0.29;07. Jun;0.025;35;124;0.99162;Mrz 15;0.65;12. Aug;7
06. Sep;0.27;0.25;07. Mai;0.03;18;117;0.99116;03. Sep;0.38;13;6
06. Mai;0.29;0.53;01. Jul;0.04;41;192;0.9922;Mrz 26;0.59;10. Apr;7
06. Mai;0.29;0.52;01. Jul;0.034;41;193;0.99223;Mrz 25;0.59;10. Apr;6
06. Jan;0.22;0.25;12. Jan;0.035;54;135;0.99481;Mrz 21;0.4;10. Jul;5
06. Mrz;0.22;0.27;04. Mai;0.036;81;157;0.9928;03. Mai;0.76;10. Jul;7
06. Jan;0.24;0.26;01. Jul;0.033;61;134;0.9903;Mrz 19;0.81;11. Sep;7
05. Jun;0.23;0.25;8;0.043;31;101;0.99429;Mrz 19;0.42;10. Apr;6
7;0.32;0.29;07. Jun;0.025;35;124;0.99162;Mrz 15;0.65;12. Aug;7
06. Aug;0.11;0.27;08. Jun;0.044;45;104;0.99454;03. Feb;0.37;09. Sep;6
06. Aug;0.11;0.27;08. Jun;0.044;45;104;0.99454;03. Feb;0.37;09. Sep;6
07. Mrz;0.23;0.41;14. Jun;0.048;73;223;0.99863;Mrz 16;0.71;09. Apr;6
06. Jan;0.2;0.17;01. Jun;0.048;46;129;0.991;03. Mrz;0.43;11. Apr;6
06. Aug;0.11;0.27;08. Jun;0.044;45;104;0.99454;03. Feb;0.37;09. Sep;6
07. Mrz;0.23;0.41;14. Jun;0.048;73;223;0.99863;Mrz 16;0.71;09. Apr;6
06. Sep;0.2;0.41;01. Jan;0.06;36;104;0.99317;Feb 99;0.39;09. Feb;5
06. Jul;0.19;0.32;03. Jul;0.041;26;76;0.99173;02. Sep;0.57;10. Mai;7
06. Jul;0.28;0.34;08. Sep;0.048;32;111;0.99455;Mrz 25;0.54;11;7
06. Jul;0.28;0.34;08. Sep;0.048;32;111;0.99455;Mrz 25;0.54;11;7
8;0.37;0.31;04. Jul;0.038;3;127;0.99186;02. Sep;0.72;12. Jan;5
06. Jul;0.28;0.34;08. Sep;0.048;32;111;0.99455;Mrz 25;0.54;11;7
6;0.26;0.29;03. Jan;0.041;37;144;0.98944;Mrz 22;0.39;12. Aug;7
06. Apr;0.24;0.49;05. Aug;0.053;25;120;0.9942;03. Jan;0.98;10. Mai;6
06. Apr;0.24;0.49;05. Aug;0.053;25;120;0.9942;03. Jan;0.98;10. Mai;6
06. Apr;0.24;0.49;05. Aug;0.053;25;120;0.9942;03. Jan;0.98;10. Mai;6
06. Apr;0.25;0.57;1;0.062;21;122;0.99238;3;0.4;09. Mai;5
06. Jan;0.25;0.48;15. Aug;0.052;25;94;0.99782;03. Jul;0.45;09. Feb;6
06. Aug;0.14;0.35;01. Mai;0.047;40;117;0.99111;03. Jul;0.72;11. Jan;6
06. Mai;0.38;0.26;05. Feb;0.042;33;112;0.99067;03. Jun;0.5;12. Mrz;7
06. Aug;0.14;0.35;01. Mai;0.047;40;117;0.99111;03. Jul;0.72;11. Jan;6
05. Apr;0.15;0.32;02. Mai;0.037;10;51;0.98878;03. Apr;0.58;12. Jun;6
06. Apr;0.25;0.57;1;0.062;21;122;0.99238;3;0.4;09. Mai;5
06. Jan;0.25;0.48;15. Aug;0.052;25;94;0.99782;03. Jul;0.45;09. Feb;6
06. Aug;0.22;0.32;05. Sep;0.054;40;152;0.9938;03. Feb;0.57;10. Aug;6
07. Feb;0.21;0.29;03. Jan;0.044;39;122;0.99143;3;0.6;11. Mrz;6
6;0.26;0.29;03. Jan;0.041;37;144;0.98944;Mrz 22;0.39;12. Aug;7
06. Apr;0.24;0.49;05. Aug;0.053;25;120;0.9942;03. Jan;0.98;10. Mai;6
06. Mai;0.46;0.24;11. Mai;0.051;56;171;0.99588;03. Aug;0.56;09. Aug;6
06. Mai;0.18;0.48;18;0.054;56;183;100.038;Feb 98;0.61;08. Mai;6
06. Feb;0.32;0.12;04. Aug;0.054;6;97;0.99424;Mrz 16;0.5;09. Mrz;5
07. Feb;0.4;0.24;08. Mai;0.055;45;151;0.99626;03. Feb;0.52;09. Feb;5
05. Sep;0.23;0.24;01. Jun;0.037;32;115;0.99076;Mrz 21;0.51;11. Apr;6
06. Apr;0.18;0.48;18;0.054;56;183;100.038;Feb 98;0.61;08. Mai;6
06. Feb;0.32;0.12;04. Aug;0.054;6;97;0.99424;Mrz 16;0.5;09. Mrz;5
06. Apr;0.37;0.12;05. Sep;0.056;6;91;0.99536;03. Jun;0.46;08. Apr;4
7;0.23;0.42;01. Jan;0.062;35;100;0.99318;03. Apr;0.4;09. Feb;5
07. Feb;0.4;0.24;08. Mai;0.055;45;151;0.99626;03. Feb;0.52;09. Feb;5
07. Jun;0.19;0.37;13. Jan;0.033;52;151;0.99726;Mrz 18;0.79;10. Apr;6
6;0.28;0.27;04. Jan;0.046;50;147;0.99126;Mrz 27;0.56;11. Jun;6
06. Feb;0.32;0.45;02. Sep;0.029;37;94;0.98998;Mrz 25;0.6;12. Apr;6
07. Jun;0.19;0.37;13. Jan;0.033;52;151;0.99726;Mrz 18;0.79;10. Apr;6
06. Apr;0.26;0.26;01. Jan;0.052;22;176;0.99304;03. Sep;0.54;09. Mrz;5
05. Sep;0.25;0.27;01. Mai;0.029;37;81;0.9892;03. Feb;0.46;12. Feb;6
06. Jan;0.28;0.3;Jul 75;0.031;33;139;0.99296;Mrz 22;0.46;11;6
06. Sep;0.19;0.38;Jan 15;0.023;30;105;0.99047;03. Nov;0.38;11. Apr;5
06. Apr;0.29;0.57;1;0.06;15;120;0.9924;03. Jun;0.41;09. Mai;5
06. Aug;0.27;0.22;17. Aug;0.034;16;116;0.9989;03. Jul;0.53;09. Feb;5
07. Mai;0.26;0.38;05. Jul;0.021;23;125;0.99338;Mrz 13;0.62;11. Jan;6
06. Aug;0.27;0.22;17. Aug;0.034;16;116;0.9989;03. Jul;0.53;09. Feb;5
06. Apr;0.2;0.22;07. Apr;0.032;53;172;0.99404;Mrz 24;0.58;11;6
07. Mrz;0.33;0.22;01. Apr;0.041;40;177;0.99287;Mrz 14;0.48;09. Sep;5
07. Mrz;0.34;0.22;01. Apr;0.044;43;176;0.99286;Mrz 14;0.46;09. Sep;5
06. Apr;0.29;0.57;1;0.06;15;120;0.9924;03. Jun;0.41;09. Mai;5
06. Jan;01. Jan;0.16;04. Apr;0.033;8;109;0.99058;Mrz 35;0.47;12. Apr;4
06. Mrz;0.24;0.29;01. Jun;0.052;48;185;0.9934;Mrz 21;0.5;09. Apr;5
06. Feb;0.24;0.22;07. Sep;0.053;45;149;0.99545;Mrz 23;0.52;09. Mrz;5
07. Apr;0.16;0.27;15. Mai;0.05;25;135;0.9984;02. Sep;0.43;08. Jul;7
07. Apr;0.16;0.27;15. Mai;0.05;25;135;0.9984;02. Sep;0.43;08. Jul;7
07. Apr;0.16;0.27;15. Mai;0.05;25;135;0.9984;02. Sep;0.43;08. Jul;7
07. Apr;0.16;0.27;15. Mai;0.05;25;135;0.9984;02. Sep;0.43;08. Jul;7
07. Feb;0.17;0.28;17.55;0.05;33;154;0.99971;Feb 94;0.43;9;7
06. Sep;0.19;0.35;13. Mai;0.038;49;118;0.99546;3;0.63;10. Jul;6
06. Sep;0.19;0.35;13. Mai;0.038;49;118;0.99546;3;0.63;10. Jul;6
06. Aug;0.16;0.36;01. Mrz;0.034;32;98;0.99058;03. Feb;0.58;11. Mrz;6
07. Apr;0.16;0.27;15. Mai;0.05;25;135;0.9984;02. Sep;0.43;08. Jul;7
06. Aug;0.3;0.27;11. Jun;0.028;22;97;0.99314;Feb 96;0.38;11. Jul;6
06. Feb;0.24;0.22;07. Sep;0.053;45;149;0.99545;Mrz 23;0.52;09. Mrz;5
07. Apr;0.16;0.27;15. Mai;0.05;25;135;0.9984;02. Sep;0.43;08. Jul;7
07. Feb;0.17;0.28;17.55;0.05;33;154;0.99971;Feb 94;0.43;9;7
06. Aug;0.3;0.27;11. Jun;0.028;22;97;0.99314;Feb 96;0.38;11. Jul;6
06. Mai;0.43;0.18;13.15;0.032;25;131;0.99565;Mrz 23;0.51;10. Jul;5
06. Jun;0.17;0.36;01. Sep;0.036;38;110;0.99056;03. Mai;0.54;11. Apr;6
06. Sep;0.19;0.35;13. Mai;0.038;49;118;0.99546;3;0.63;10. Jul;6
06. Aug;0.16;0.36;01. Mrz;0.034;32;98;0.99058;03. Feb;0.58;11. Mrz;6
06. Apr;0.41;0.01;06. Jan;0.048;20;70;0.99362;Mrz 19;0.42;10;5
06. Apr;0.41;0.01;06. Jan;0.048;20;70;0.99362;Mrz 19;0.42;10;5
07. Apr;0.36;0.32;01. Sep;0.036;27;119;0.99196;Mrz 15;0.49;11. Feb;6
06. Jan;0.17;0.21;01. Sep;0.09;44;130;0.99255;03. Jul;0.41;09. Jul;5
05. Mai;0.28;0.21;01. Jun;0.032;23;85;0.99027;Mrz 42;0.42;12. Mai;5
06. Jun;0.5;0.26;11. Mrz;0.029;32;110;0.99302;Mrz 27;0.78;12. Sep;8
07. Jan;0.44;0.27;08. Apr;0.057;60;160;0.99257;Mrz 16;0.36;11. Aug;6
06. Sep;0.38;0.28;08. Mrz;0.062;22;166;0.99506;Mrz 16;0.72;10. Jun;5
07. Jan;0.44;0.27;08. Apr;0.057;60;160;0.99257;Mrz 16;0.36;11. Aug;6
06. Feb;0.24;0.28;12. Feb;0.049;54;133;0.9952;Mrz 19;0.37;10. Jul;6
06. Jan;0.28;0.27;8;0.048;41;162;0.99498;Mrz 21;0.51;09. Sep;5
07. Jun;0.26;0.32;01. Mrz;0.048;23;76;0.9903;Feb 96;0.46;12;6
07. Mai;0.16;0.38;12. Jul;0.043;70.5;163;0.99706;Mrz 15;0.82;10. Apr;7
06. Mai;0.36;0.16;01. Mrz;0.054;11;107;0.99398;Mrz 19;0.39;08. Mai;5
06. Jun;0.35;0.19;10. Mai;0.06;15;82;0.99588;Mrz 13;0.38;09. Sep;4
05. Jul;0.25;0.26;12. Mai;0.049;52.5;120;0.99691;03. Aug;0.45;09. Apr;6
